Date Obligation Fulfilled,City Council Approved,Type,Project Name,Ward,Alderman,Total Ward Subject Units,ARO Trigger,ARO,Zone,ARO-Subject Units,Actual In-Lieu Fees Paid,Off-Site Admin Fee,On-Site Units,Off-Site Units,Ward On-Site,Ward Off-Site,Total Ward Affordable Units,Units Below 50AMI,Units Below 60AMI,Units 81 to 100AMI
29-Jun-18,17-Jan-18,Rental,1040W Huron,27,"Walter Burnett, Jr.",2690,Zoning and PD Change,2015 ARO,Near North Pilot,196,0,0,39,0,216,0,216,0,20,19
13-Sep-17,29-Mar-17,For Sale,3340 S Justine,12,Ameya Pawar,466,Zoning Change,2015 ARO,Low-Mod Income,16,100000,0,0,0,38,0,38,,0,0
31-May-17,16-Mar-16,For Sale,3607 S Morgan,11,Daniel Solis,1043,Zoning Change,2015 ARO,Higher Income,21,125000,0,1,0,27,0,27,0,0,1
19-Oct-17,25-Jan-17,Rental,3220 N Lincoln,47,James Cappleman,858,TSL only,2015 ARO,Higher Income,19,0,0,2,0,35,0,35,0,2,0
12-Apr-18,16-Nov-16,Rental,5050 N Broadway,48,Scott Waguespack,641,Zoning and PD Change,2015 ARO,Higher Income,345,0,0,35,0,30,0,30,0,35,0
2-Apr-18,8-Nov-17,Rental,975WWilson,46,Joe Moreno,926,Zoning and PD Change,2015 ARO,Higher Income,149,1000000,0,7,0,82,10,92,0,7,0
22-Feb-18,6-Sep-17,Rental,4000W Diversey,31,James Cappleman,858,Zoning and PD Change,2015 ARO,Higher Income,124,0,0,12,0,35,0,35,,12,0
6-Jul-17,29-Mar-17,Rental,4015 N Narraoansett,38,Ameya Pawar,466,Zoning Change,2015 ARO,Higher Income,15,0,0,2,0,38,0,38,,2,0
15-Nov-16,16-Mar-16,For Sale,3607 S Moraan,11,Ameya Pawar,466,Zoning Change,2015 ARO,Higher Income,21,125000,0,0,0,38,0,38,,0,0
30-Sep-16,18-May-16,Rental,847 N Larrabee,27,Scott Waguespack,641,Zoning Change,2015 ARO,Higher Income,49,500000,0,1,0,30,0,30,,1,0
15-Sep-16,20-Jul-16,For Sale,2614 W Fullerton,1,Joe Moreno,926,Zoning Change,2015 ARO,Higher Income,14,0,0,1,0,82,10,92,,0,1
28-Jul-16,9-Dec-15,For Sale,2817 N Oaklev,32,Gilbert Villegas,18,Zoning Change,2015 ARO,Higher Income,11,125000,0,0,0,2,0,2,,0,0
29-Aug-17,16-Nov-16,For Sale,1841 N California,1,Joe Moreno,926,Zoning Change,2015 ARO,Higher Income,14,0,0,1,0,82,10,92,,0,1
30-Jul-18,,Rental,633W North Ave,2,Ameya Pawar,466,Zoning and PD Change,2015 ARO,Higher Income,261,2375000,0,7,0,38,0,38,0,7,0
17-Mar-17,22-Jun-16,Rental,734 W Sheridan,46,Joseph A. Moore,50,Zoning Change,2015 ARO,Higher Income,101,875000,0,3,0,0,0,0,,3,0
6-Sep-16,13-Jan-16,For Sale,2500 W Cortland,1,Daniel Solis,1043,Zoning Change,2015 ARO,Higher Income,49,0,25000,0,5,27,0,27,,5,0
24-May-17,16-Nov-16,Rental,1911 W Irving Park Rd,47,Scott Waguespack,641,Zoning Change,2015 ARO,Higher Income,24,0,0,2,0,30,0,30,0,2,0
25-Sep-18,29-Mar-17,Rental,2813W Belmont,33,Ameya Pawar,466,Zoning Change,2015 ARO,Higher Income,48,0,0,5,0,38,0,38,0,5,0
24-Sep-18,11-Oct-17,Rental,4646 N Darnen,47,"Walter Burnett, Jr.",2690,Zoning Change,2015 ARO,Higher Income,24,0,0,2,0,216,0,216,0,2,0
14-Sep-18,11-Oct-17,Rental,3647 N Southport,44,Daniel Solis,1043,Zoning Change,2015 ARO,Higher Income,18,125000,0,1,0,27,0,27,0,1,0
2-Aug-18,28-Mar-18,Rental,3200 N Southport,44,Ameya Pawar,466,Zoning Change,2015 ARO,Higher Income,24,128469,0,0,0,38,0,38,0,0,0
10-May-18,11-Oct-17,Rental,4210 N Western Ave,47,James Cappleman,858,Zoning Change,2015 ARO,Higher Income,48,0,0,5,0,35,0,35,0,5,0
10-May-18,29-Mar-17,TBD,3720 N Ashland,47,Patrick Thompson,240,Zoning Change,2015 ARO,Higher Income,12,125000,0,0,0,1,0,1,0,0,0
9-May-18,11-Oct-17,Rental,3122 N Broadway,44,Joe Moreno,926,Zoning Change,2015 ARO,Higher Income,19,0,0,2,0,82,10,92,0,2,0
9-May-18,17-Jan-18,Rental,4906 N Clark,47,Patrick J. O'Connor,29,Zoning Change,2015 ARO,Higher Income,54,0,0,5,0,0,0,0,0,5,0
27-Mar-18,14-Sep-16,Rental,2150W Lawrence,47,Daniel Solis,1043,Zoning Change,2015 ARO,Higher Income,59,0,0,6,0,27,0,27,,0,0
13-Mar-18,28-Jun-17,Rental,1912 N Milwaukee,32,"Walter Burnett, Jr.",2690,Zoning Change,2015 ARO,Higher Income,11,0,0,1,0,216,0,216,,1,0
27-Feb-18,9-Dec-15,Rental,2915WArmitage,1,Michele Smith,918,Zoning Change,2015 ARO,Higher Income,33,0,0,3,,54,0,54,,3,
5-Feb-18,29-May-17,Rental,2817 N Natoma,36,"Walter Burnett, Jr.",2690,Zoning Change,2015 ARO,Higher Income,18,0,0,2,0,216,0,216,,2,0
11-Jan-18,24-May-17,Rental,2247 W Lawrence Av,47,Deborah Mell,64,Zoning Change,2015 ARO,Higher Income,24,0,0,2,0,5,0,5,,2,0
15-Dec-17,9-Dec-15,Rental,2701WArmitage,1,Nicholas Sposato,44,Zoning Change,2015 ARO,Higher Income,59,0,0,6,,2,0,2,,6,
11-Dec-17,29-Mar-17,Rental,1879 N Milwaukee,32,James Cappleman,858,Zoning Change,2015 ARO,Higher Income,30,125000,0,2,0,35,0,35,0,2,0
17-Nov-17,16-Nov-16,Rental,5029 N Kenmore,48,"Walter Burnett, Jr.",2690,Zoning Change,2015 ARO,Higher Income,40,0,0,4,0,216,0,216,0,4,0
8-Nov-17,22-Jun-16,Rental,1819 W Montrose,47,Brian Hopkins,558,Zoning Change,2015 ARO,Higher Income,38,0,0,4,0,9,0,9,0,4,0
30-Oct-17,16-Nov-16,Rental,2556 WArmitage,1,Thomas M. Tunney,346,Zoning Change,2015 ARO,Higher Income,14,0,0,1,0,8,0,8,0,1,0
17-Oct-17,14-Dec-16,Rental,1938 W North Ave,2,Patrick Thompson,240,Zoning Change,2015 ARO,Higher Income,15,0,0,2,0,1,0,1,0,2,0
28-Sep-17,29-Mar-17,Rental,1630W Wilson,47,Scott Waguespack,641,Zoning Change,2015 ARO,Higher Income,24,0,0,2,0,30,0,30,,2,0
26-Sep-17,16-Mar-16,For Sale,3530 N Lincoln,47,Scott Waguespack,641,Zoning Change,2015 ARO,Higher Income,14,125000,0,0,0,30,0,30,,0,0
19-Sep-17,14-Dec-16,Rental,4420 N Sheridan,46,"Walter Burnett, Jr.",2690,Zoning Change,2015 ARO,Higher Income,33,250000,0,1,0,216,0,216,,1,0
5-Sep-17,16-Nov-16,Rental,937W Belmont,44,"Walter Burnett, Jr.",2690,Zoning Change,2015 ARO,Higher Income,33,0,0,3,0,216,0,216,,3,0
1-Sep-17,25-Jan-17,For Sale,2530 S Blue Island Ave,25,James Cappleman,858,Zoning Change,2015 ARO,Higher Income,17,125000,0,1,0,35,0,35,,0,1
29-Aug-17,16-Nov-16,Rental,1667 NWestern,32,Michele Smith,918,Zoning Change,2015 ARO,Higher Income,30,250000,0,1,0,54,0,54,,1,0
1-Aug-17,25-Jan-17,Rental,2601 N Harlem,29,Scott Waguespack,641,Zoning Change,2015 ARO,Higher Income,24,0,0,2,0,30,0,30,,2,0
24-Jul-17,16-Nov-16,Rental,2529 W Fullerton,1,Daniel Solis,1043,Zoning Change,2015 ARO,Higher Income,19,0,0,2,0,27,0,27,,2,0
30-Jun-17,14-Sep-16,Rental,4812W Montrose,45,Joe Moreno,926,Zoning Change,2015 ARO,Higher Income,16,0,0,2,0,82,10,92,0,2,0
27-Jun-17,27-Mar-17,Rental,1038 NAshland,1,Daniel Solis,1043,Zoning Change,2015 ARO,Higher Income,18,0,0,2,0,27,0,27,0,2,0
22-Jun-17,16-Mar-16,Rental,"Vista on the Park, 2635 W North Ave",1,"Walter Burnett, Jr.",2690,Zoning Change,2015 ARO,Higher Income,30,0,15000,0,3,216,0,216,0,3,0
22-Jun-17,14-Sep-16,Rental,1868 N Milwaukee Ave,32,Patrick J. O'Connor,29,Zoning Change,2015 ARO,Higher Income,44,0,0,4,0,0,0,0,0,4,0
15-Jun-17,14-Sep-16,Rental,3462 N Lincoln,47,Jason Ervin,20,Zoning Change,2015 ARO,Higher Income,18,0,0,2,0,0,0,0,0,2,0
21-Apr-17,22-Jun-16,For Sale,2234 W Lawrence,47,Pat Dowell,60,Zoning Change,2015 ARO,Higher Income,14,125000,0,0,0,0,0,0,0,0,0
11-Apr-17,16-Mar-16,Rental,2109 S Halsted,11,"Walter Burnett, Jr.",2690,Zoning Change,2015 ARO,Higher Income,18,250000,0,0,0,216,0,216,0,0,0
5-Jan-17,18-May-16,Rental,3228 N Clark,44,Scott Waguespack,641,Zoning Change,2015 ARO,Higher Income,24,0,0,2,0,30,0,30,,2,0
21-Oct-16,13-Jan-16,Rental,"East Village Lofts, 1056 N Ashland",1,Ameya Pawar,466,Zoning Change,2015 ARO,Higher Income,34,0,10000,1,2,38,0,38,,3,0
21-Dec-17,28-Jun-17,Rental,2835 W Belden,1,Chris Taliaferro,72,Zoning Change and PD,2015 ARO,Higher Income,100,0,0,10,,7,0,7,,10,
7/6/2017,25-Jan-17,Rental,1980 Milwaukee,1,"Walter Burnett, Jr.",2690,Zoning Change and PD,2015 ARO,Higher Income,132,0,0,13,0,216,0,216,0,13,0
5-Oct-17,18-May-16,Rental,927 W lrvina Park Rd,46,Thomas M. Tunney,346,Zoning Change,2015 ARO,Higher Income,28,250000,0,1,0,8,0,8,0,1,0
17-Jul-17,25-Jan-17,For Sale,Hayden West Loop Phase,27,Joe Moreno,926,Zoning and PD Change,2015 ARO,Downtown Buy-Out,28,675000,0,0,0,82,10,92,,0,0
12/5/2017,25-Jan-17,For Sale,"900 West, 900 W
Washington",27,Brian Hopkins,558,Zoning Change and PD,2015 ARO,Downtown Buy-Out,24,450000,0,0,0,9,0,9,0,0,0
23-Jul-18,28-Jun-17,Rental,845 W Madison,27,Ameya Pawar,466,Downtown PD,2015 ARO,Downtown,586,0,0,59,0,38,0,38,0,59,0
12-Apr-18,8-Nov-17,Rental,845 W Adams Sl,25,Joe Moreno,926,Zoning and PD Change,2015 ARO,Downtown,275,3675000,0,7,0,82,10,92,0,7,0
28-Mar-18,11-Oct-17,Rental,935W Washington,25,Brian Hopkins,558,Zoning and PD Change,2015 ARO,Downtown,358,4725000,0,9,0,9,0,9,,9,0
18-Dec-17,6-Sep-17,Rental,158 NAda,27,Scott Waguespack,641,Zoning Change and PD,2015 ARO,Downtown,263,0,0,26,0,30,0,30,0,26,0
5-Jul-18,10-Feb-16,Rental,800 N Clark,2,Milly Santiago,124,Zoning and PD Change,2007 ARO,2007 ARO,230,2363825,0,0,0,12,0,12,0,0,0
3-Nov-17,18-Nov-15,For Sale,360W Erie,42,"Walter Burnett, Jr.",2690,City Land,2007 ARO,2007 ARO,38,400000,0,0,0,216,0,216,0,0,0
20-Oct-17,22-Jun-16,Rental,"Jefferson Park Residences, 5201 W Lawrence",45,George A. Cardenas,16,City Land,2007 ARO,2007 ARO,39,0,0,4,0,0,0,0,0,4,0
19-May-16,2-Nov-11,For Sale,550 W Webster,43,Patrick Thompson,240,Downtown PD,2007 ARO,2007 ARO,178,1800000,0,0,0,1,0,1,,0,0
10-Feb-17,10-Feb-16,Rental,"Montrose & Clarendon Subarea A, 4400 N Clarendon",46,Harry Osterman,385,Financial Assistance,2007 ARO,2007 ARO,381,5700000,0,20,0,39,0,39,10,10,0
12-Jul-17,8-May-13,For Sale,Riverbend Estates - Phase IIA,11,Nicholas Sposato,44,Zoning and PD Change,2007 ARO,2007 ARO,12,100000,0,0,0,2,0,2,,0,0
27-Jun-17,22-Jun-16,Rental,2340 N California Savoy on the Park,1,Patrick Thompson,240,Zoning and PD Change,2007 ARO,2007 ARO,134,0,0,14,0,1,0,1,0,14,0
8-Nov-17,24-Sep-15,Rental,1313W Morse,49,Ameya Pawar,466,Zoning Change,2007 ARO,2007 ARO,50,500000,0,0,0,38,0,38,0,0,0
5-Oct-16,18-May-16,For Sale,210 S Green,25,Deborah Mell,64,Zoning Change,2007 ARO,2007 ARO,40,200000,0,0,0,5,0,5,,0,0
25-Aug-16,10-Feb-16,Rental,1920 N Milwaukee,32,Ameya Pawar,466,Zoning Change,2007 ARO,2007 ARO,44,500000,0,0,0,38,0,38,,0,0
17-Aug-16,9-Dec-15,Rental,4618 N Western,47,Thomas M. Tunney,346,Zoning Change,2007 ARO,2007 ARO,40,200000,0,2,0,8,0,8,,2,0
17-Jun-16,18-Mar-15,Rental,851 W Grand,27,Thomas M. Tunney,346,Zoning Change,2007 ARO,2007 ARO,36,400000,0,0,0,8,0,8,,0,0
10-May-16,24-Sep-15,Rental,1050 W Monroe,25,Ameya Pawar,466,Zoning Change,2007 ARO,2007 ARO,70,700000,0,0,0,38,0,38,,0,0
1-Apr-16,24-Sep-15,Rental,4801 N Ravenswood,47,Ameya Pawar,466,Zoning Change,2007 ARO,2007 ARO,36,0,0,4,0,38,0,38,,4,0
10-Nov-16,18-May-16,Rental,3833 N Broadway,46,Scott Waguespack,641,Zoning and PD Change,2007 ARO,2007 ARO,125,1300000,0,0,0,30,0,30,,0,0
31-May-16,8-May-13,For Sale,Riverbend Estates,11,Harry Osterman,385,Zoning and PD Change,2007 ARO,2007 ARO,69,400000,0,0,0,39,0,39,,0,0
28-Dec-16,18-Mar-15,Rental,"Centrum Wicker Park, 1650 W Division",1,Joe Moreno,926,Zoning and PD Change,2015 ARO,2007 ARO,260,0,0,26,0,82,10,92,,26,0
17-Jan-18,10-Sep-14,Rental,5820 N Clark,40,Brian Hopkins,558,Zoning Change,2007 ARO,2007 ARO,19,200000,0,0,0,9,0,9,,0,0
22-Nov-17,18-May-16,For Sale,"210 S Green, Phase 11-111",25,Ameya Pawar,466,Zoning Change,2007 ARO,2007 ARO,40,200000,0,0,0,38,0,38,0,0,0
24-Oct-17,25-Jul-12,Rental,"Atrium Village, 202 W Hill St",27,Ameya Pawar,466,Zoning Change,2007 ARO,2007 ARO,428,0,0,43,0,38,0,38,0,43,0
3-May-17,2-Apr-14,Rental,"Lincoln Commons, 2337 N HalstedSt",43,James Cappleman,858,Zoning Change,2007 ARO,2007 ARO,540,0,0,54,0,35,0,35,0,54,0
2-May-17,22-Jun-16,TBD,739 N Ada,27,Thomas M. Tunney,346,Zoning Change,2007 ARO,2007 ARO,58,600000,0,0,0,8,0,8,0,,
14-Apr-17,5-Mar-14,For Sale,2701 W Belmont,33,Daniel Solis,1043,Zoning Change,2007 ARO,2007 ARO,16,200000,0,0,0,27,0,27,0,0,0
10-Apr-17,24-Sep-15,Rental,4111 N Narragansett,38,Scott Waguespack,641,Zoning Change,2007 ARO,2007 ARO,29,300000,0,0,0,30,0,30,0,0,0
7-Apr-17,19-Nov-14,Rental,"Dakin Lofts, 932 W Dakin",46,Chris Taliaferro,72,Zoning Change,2007 ARO,2007 ARO,24,300000,0,3,0,7,0,7,0,3,0
9-Mar-17,18-Mar-15,For Sale,680 N Milwaukee,27,Joe Moreno,926,Zoning Change,2007 ARO,2007 ARO,20,200000,0,0,0,82,10,92,0,0,0
16-Feb-17,16-Mar-16,Rental,1011 N Ashland,2,John Arena,55,Zoning Change,2007 ARO,2007 ARO,33,400000,0,0,0,6,0,6,,,
14-Feb-17,26-Jun-13,Rental,3141 N Sheffield,44,Joe Moreno,926,Zoning Change,2007 ARO,2007 ARO,80,800000,0,0,0,82,10,92,0,,0
1-Feb-17,22-Jun-16,Rental,700 W 14th St,11,Joe Moreno,926,Zoning Change,2007 ARO,2007 ARO,99,1000000,0,0,0,82,10,92,0,0,0
25-Jan-17,24-Sep-15,Rental,2339 N Seeley,32,Scott Waguespack,641,Zoning Change,2007 ARO,2007 ARO,40,400000,0,0,0,30,0,30,,0,0
17-Nov-16,22-Jun-16,Rental,1730 W Wrightwood,32,Ameya Pawar,466,Zoning Change,2007 ARO,2007 ARO,76,800000,0,0,,38,0,38,,0,0
20-Oct-16,16-Mar-16,Rental,708 W Grand,27,Ameya Pawar,466,Zoning Change,2007 ARO,2007 ARO,105,1000000,0,1,0,38,0,38,,1,0
4-Oct-16,2-Apr-14,Rental,943 N Crosby,27,Patrick Thompson,240,Zoning Change,2007 ARO,2007 ARO,27,300000,0,0,0,1,0,1,,0,0
19-Sep-16,13-Jan-16,Rental,931 W Belle Plaine,46,Thomas M. Tunney,346,Zoning Change,2007 ARO,2007 ARO,17,200000,0,0,0,8,0,8,,0,0
24-Aug-16,29-Jul-15,Rental,2518 N Lincoln,43,Joe Moreno,926,Zoning Change,2007 ARO,2007 ARO,200,2000000,0,0,0,82,10,92,,0,0
28-Jul-16,24-Sep-15,Rental,2339 N Seeley,32,Joe Moreno,926,Zoning Change,2007 ARO,2007 ARO,40,300000,0,0,0,82,10,92,,0,0
27-Jul-16,10-Feb-16,Rental,"Woodworking Lofts, 1415 W 21st",25,Joe Moreno,926,Zoning Change,2007 ARO,2007 ARO,99,0,0,10,0,82,10,92,,10,0
13-Jul-16,21-Jan-15,Rental,2808 W North,1,James Cappleman,858,Zoning Change,2007 ARO,2007 ARO,16,0,0,2,0,35,0,35,,0,2
11-Jul-16,24-Sep-15,Rental,"Aberdeen Place, 35 S Aberdeen",25,"Walter Burnett, Jr.",2690,Zoning Change,2007 ARO,2007 ARO,50,500000,0,0,0,216,0,216,,0,0
30-Jun-16,15-Nov-14,Rental,1001 W Chicago,27,"Walter Burnett, Jr.",2690,Zoning Change,2007 ARO,2007 ARO,365,3700000,0,0,0,216,0,216,,0,0
28-Jun-16,28-Oct-15,Rental,"Hollywood and Ashland Apartments, 5701 N Ashland",40,"Walter Burnett, Jr.",2690,Zoning Change,2007 ARO,2007 ARO,10,100000,0,0,0,216,0,216,,,
21-Jun-16,18-Mar-15,For Sale,228 S Racine,28,Daniel Solis,1043,Zoning Change,2007 ARO,2007 ARO,20,200000,0,0,0,27,0,27,,0,0
16-Jun-16,28-Oct-15,For Sale,1045 Washington,25,Daniel Solis,1043,Zoning Change,2007 ARO,2007 ARO,69,700000,0,0,0,27,0,27,,0,0
17-May-16,16-Oct-13,Rental,1333 s Wabash,3,"Walter Burnett, Jr.",2690,Zoning Change,2007 ARO,2007 ARO,60,600000,0,0,0,216,0,216,,0,0
25-Apr-16,18-Mar-15,For Sale,650 N Moraan,27,Brian Hopkins,558,Zoning Change,2007 ARO,2007 ARO,25,300000,0,0,0,9,0,9,,0,0
23-Mar-16,24-Sep-15,Rental,"Centrum 606, 1749 N Milwaukee",32,Brendan Reilly,38,Zoning Change,2007 ARO,2007 ARO,95,1000000,0,0,0,0,0,0,,0,0
17-Feb-16,24-Sep-15,Rental,3418 N Lincoln,47,John Arena,55,Zoning Change,2007 ARO,2007 ARO,18,200000,0,0,0,6,0,6,,0,0
17-Feb-16,3-Oct-12,For Sale,"Base Sixteen, 1600 S. Jefferson",25,Michele Smith,918,Zoning Change,2007 ARO,2007 ARO,25,300000,0,0,0,54,0,54,,0,0
4-Jan-16,29-Jul-15,Rental,2931 N Harlem,29,James Cappleman,858,Zoning Change,2007 ARO,2007 ARO,48,0,0,5,0,35,0,35,,5,0
25-May-18,13-Jan-16,Rental,2496 N Milwaukee,32,Patrick Thompson,240,Zoning Change,2007 ARO,2007 ARO,220,0,0,22,0,1,0,1,0,22,0
3-Oct-17,25-Feb-14,For Sale,913 N Hoyne,2,Joe Moreno,926,Zoning Change,2007 ARO,2007 ARO,19,200000,0,0,0,82,10,92,0,0,0
27-Feb-17,25-Jul-12,Rental,Atrium Village 1150 N Wells: Phase I,27,Daniel Solis,1043,Zoning Change and PD,2007 ARO,2007 ARO,405,0,0,41,0,27,0,27,,41,0
22-Mar-16,26-Nov-13,Rental,1025 W Addison,44,"Walter Burnett, Jr.",2690,Zoning Change and PD,2007 ARO,2007 ARO,148,1500000,0,0,0,216,0,216,,0,0
29-Feb-16,17-Jun-15,Rental,1051 W Lake,27,Thomas M. Tunney,346,Zoning Change and PD,2007 ARO,2007 ARO,75,200000,0,6,0,8,0,8,,6,0
